#
#
# US Geological Survey, Water Resources Data
# retrieved: 2018-01-27 14:24:44 EST      (vaww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 02091500 CONTENTNEA CREEK AT HOOKERTON, NC
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		85389	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
USGS	02091500	00060	85389	1954	4	1240
USGS	02091500	00060	85389	1954	5	359.1
USGS	02091500	00060	85389	1954	6	109.7
USGS	02091500	00060	85389	1954	7	105.2
USGS	02091500	00060	85389	1954	8	37.2
USGS	02091500	00060	85389	1954	9	24.9
USGS	02091500	00060	85389	1954	10	20.3
USGS	02091500	00060	85389	1954	11	41.1
USGS	02091500	00060	85389	1954	12	140.6
USGS	02091500	00060	85389	1955	1	207.4
USGS	02091500	00060	85389	1955	2	447.3
USGS	02091500	00060	85389	1955	3	389.5
USGS	02091500	00060	85389	1955	4	257.8
USGS	02091500	00060	85389	1955	5	166.7
USGS	02091500	00060	85389	1955	6	152.7
USGS	02091500	00060	85389	1955	7	295.3
USGS	02091500	00060	85389	1955	8	1642
USGS	02091500	00060	85389	1955	9	3675
USGS	02091500	00060	85389	1955	10	607.2
USGS	02091500	00060	85389	1955	11	426.1
USGS	02091500	00060	85389	1955	12	317.0
USGS	02091500	00060	85389	1956	1	383.5
USGS	02091500	00060	85389	1956	2	1085
USGS	02091500	00060	85389	1956	3	1439
USGS	02091500	00060	85389	1956	4	1034
USGS	02091500	00060	85389	1956	5	542.9
USGS	02091500	00060	85389	1956	6	136.6
USGS	02091500	00060	85389	1956	7	510.6
USGS	02091500	00060	85389	1956	8	581.1
USGS	02091500	00060	85389	1956	9	408.4
USGS	02091500	00060	85389	1956	10	597.8
USGS	02091500	00060	85389	1956	11	538.4
USGS	02091500	00060	85389	1956	12	611.4
USGS	02091500	00060	85389	1957	1	469.6
USGS	02091500	00060	85389	1957	2	1029
USGS	02091500	00060	85389	1957	3	1585
USGS	02091500	00060	85389	1957	4	531.2
USGS	02091500	00060	85389	1957	5	314.4
USGS	02091500	00060	85389	1957	6	430.8
USGS	02091500	00060	85389	1957	7	71.1
USGS	02091500	00060	85389	1957	8	77.2
USGS	02091500	00060	85389	1957	9	152.9
USGS	02091500	00060	85389	1957	10	296.7
USGS	02091500	00060	85389	1957	11	513.9
USGS	02091500	00060	85389	1957	12	2037
USGS	02091500	00060	85389	1958	1	1939
USGS	02091500	00060	85389	1958	2	1590
USGS	02091500	00060	85389	1958	3	1873
USGS	02091500	00060	85389	1958	4	1906
USGS	02091500	00060	85389	1958	5	1727
